date,ticker,vol10,momentum,market_cap,beta
1/17/2014,FINL,19.680999999999997,0.1600818941130215,1309.719,1.0659999999999998
1/17/2014,FIS,11.672,0.15277088423946225,15405.7406,0.9022
1/17/2014,FISV,12.458,0.19797391960340543,14766.9673,0.9082
1/17/2014,FITB,13.683,0.05701301267394935,19025.1066,1.133
1/17/2014,FIVE,65.11,0.1330998248686515,2060.3076,1.2548
1/17/2014,FL,14.759,0.08768552298067474,5706.682,1.0273
1/17/2014,FLDM,53.703,0.81225842076201,1088.3196,0.9668
1/17/2014,FLR,17.447,0.2623508961628218,13403.0771,1.4596
1/17/2014,FLTX,53.982,-0.027543993879112428,1411.6355,0.7045
1/17/2014,FMER,22.223000000000003,0.045626683607388946,3723.5635,1.0894
1/17/2014,FNB,22.454,-0.011976418935665551,2011.0383,1.1027
1/17/2014,FOSL,25.189,0.09632130797938501,6353.4962,1.661
1/17/2014,FR,24.33,0.01932767748931561,1894.8839,1.2463
1/17/2014,FRAN,130.764,-0.38131588513267906,856.6238,1.49
1/17/2014,FRO,83.365,0.18638199179202078,396.1747,1.8487
1/17/2014,FRP,18.574,0.056105610561056084,347.9209,0.6845
1/17/2014,FSL,30.107,-0.03387622149837131,4200.5312,2.102
1/17/2014,FTI,21.590999999999998,-0.07021081576535286,12066.0151,1.2334
1/17/2014,FUL,29.184,0.27173915851084984,2488.6026,1.1487
1/17/2014,FULT,14.175,0.06049840793663327,2478.756,1.0541
1/17/2014,FWMHQ,49.793,-0.3624242424242424,532.2875,0.8846
1/17/2014,GALT,291.57099999999997,0.8827348346520594,213.1513,1.6389
1/17/2014,GAS,15.74,0.013736830982323095,5567.6212,0.8439
1/17/2014,GBDC,15.339,-0.0016369975622200419,816.3161,0.6641
1/17/2014,GBX,40.903,0.37282980610822436,1011.3401,1.5544
1/17/2014,GD,8.306000000000001,0.06442872196296848,33624.3662,1.0546
1/17/2014,GEO,17.554000000000002,-0.041424756046372475,2415.2447,0.8073
1/17/2014,GES,41.18600000000001,-0.01843749130471079,2476.0105,1.415
1/17/2014,GHL,28.365,0.12102524617869172,1661.3594,1.4939
1/17/2014,GILD,26.962,0.1825158602248396,120214.5711,1.0904
1/17/2014,GIS,15.378,0.00778535678381086,30152.6133,0.6534
1/17/2014,GLNG,28.732,-0.012997915167616801,3011.4148,1.0562
1/17/2014,GLOG,52.32,0.13229303099211737,1413.2526,1.1488
1/17/2014,GMCR,26.721,-0.053497869463399225,11767.4834,1.922
1/17/2014,GME,129.694,-0.004591489542022525,4360.2743,1.0377
1/17/2014,GNTX,18.954,0.3630050566798055,4854.2722,1.1571
